segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m), rise (s)
1,178.7115,-37.7445,29526.40,0.63,207.00,66.00,267.86,4.06,5000.0,4666.6,5.00
1,178.6857,-37.7846,29526.40,0.66,207.00,66.00,271.88,4.72,5000.0,4666.6,5.00
1,178.6598,-37.8247,29526.40,0.51,207.00,66.00,271.68,6.27,5000.0,4666.6,2.00
1,178.6340,-37.8648,29526.40,0.23,207.00,66.00,272.26,8.34,5000.0,4666.6,2.00
1,178.6081,-37.9049,29526.40,0.02,207.00,66.00,256.08,10.57,5000.0,4666.6,6.00
1,178.5823,-37.9450,29526.40,0.00,207.00,66.00,244.13,13.08,5000.0,4666.6,7.00
1,178.5565,-37.9850,29526.40,0.01,207.00,66.00,257.30,15.44,5000.0,4666.6,3.00
1,178.5306,-38.0251,29526.40,0.02,207.00,66.00,253.24,17.82,5000.0,4666.6,8.00
1,179.0540,-37.1754,33789.50,0.02,207.00,66.00,252.22,26.44,5000.0,4666.6,2.00
1,179.0282,-37.2155,33789.50,0.01,207.00,66.00,263.38,24.83,5000.0,4666.6,4.00
1,179.0023,-37.2556,33789.50,0.05,207.00,66.00,271.47,23.42,5000.0,4666.6,6.00
1,178.9765,-37.2957,33789.50,0.08,207.00,66.00,238.44,22.42,5000.0,4666.6,4.00
1,178.9506,-37.3358,33789.50,0.11,207.00,66.00,244.85,21.63,5000.0,4666.6,4.00
1,178.9248,-37.3759,33789.50,0.23,207.00,66.00,263.50,21.05,5000.0,4666.6,2.00
1,178.8990,-37.4160,33789.50,0.30,207.00,66.00,261.38,20.70,5000.0,4666.6,3.00
1,178.8731,-37.4561,33789.50,0.35,207.00,66.00,263.18,19.76,5000.0,4666.6,7.00
1,178.8473,-37.4962,33789.50,0.25,207.00,66.00,254.40,18.26,5000.0,4666.6,8.00
1,178.8214,-37.5363,33789.50,0.01,207.00,66.00,242.88,16.21,5000.0,4666.6,5.00
1,178.7956,-37.5764,33789.50,0.01,207.00,66.00,273.46,13.44,5000.0,4666.6,3.00
1,178.7698,-37.6165,33789.50,0.01,207.00,66.00,255.88,10.80,5000.0,4666.6,2.00
1,178.7439,-37.6566,33789.50,0.11,207.00,66.00,262.30,8.37,5000.0,4666.6,3.00
1,178.7181,-37.6966,33789.50,0.18,207.00,66.00,256.77,6.71,5000.0,4666.6,5.00
1,178.6922,-37.7367,33789.50,0.28,207.00,66.00,268.30,6.19,5000.0,4666.6,5.00
1,178.6664,-37.7768,33789.50,0.26,207.00,66.00,268.01,6.91,5000.0,4666.6,2.00
1,178.6406,-37.8169,33789.50,0.13,207.00,66.00,271.27,8.57,5000.0,4666.6,2.00
1,178.6147,-37.8570,33789.50,0.05,207.00,66.00,268.99,10.80,5000.0,4666.6,2.00
1,178.5889,-37.8971,33789.50,0.01,207.00,66.00,257.81,13.24,5000.0,4666.6,5.00
1,178.5631,-37.9372,33789.50,0.00,207.00,66.00,237.13,15.81,5000.0,4666.6,5.00
1,178.5372,-37.9773,33789.50,0.01,207.00,66.00,240.85,18.06,5000.0,4666.6,7.00
1,178.5114,-38.0174,33789.50,0.05,207.00,66.00,270.05,20.36,5000.0,4666.6,5.00
1,179.0347,-37.1677,38052.70,0.01,207.00,66.00,241.59,26.83,5000.0,4666.6,3.00
1,179.0089,-37.2078,38052.70,0.03,207.00,66.00,245.28,25.25,5000.0,4666.6,5.00
1,178.9831,-37.2479,38052.70,0.02,207.00,66.00,267.89,23.87,5000.0,4666.6,6.00
1,178.9572,-37.2880,38052.70,0.03,207.00,66.00,257.89,22.91,5000.0,4666.6,6.00
1,178.9314,-37.3281,38052.70,0.06,207.00,66.00,267.76,21.97,5000.0,4666.6,4.00
1,178.9055,-37.3682,38052.70,0.16,207.00,66.00,257.92,21.44,5000.0,4666.6,4.00
1,178.8797,-37.4082,38052.70,0.25,207.00,66.00,262.80,20.95,5000.0,4666.6,4.00
1,178.8539,-37.4483,38052.70,0.35,207.00,66.00,258.82,20.29,5000.0,4666.6,3.00
1,178.8280,-37.4884,38052.70,0.27,207.00,66.00,262.31,18.89,5000.0,4666.6,7.00
1,178.8022,-37.5285,38052.70,0.04,207.00,66.00,257.64,17.16,5000.0,4666.6,3.00
1,178.7764,-37.5686,38052.70,0.01,207.00,66.00,268.25,14.73,5000.0,4666.6,4.00
1,178.7505,-37.6087,38052.70,0.01,207.00,66.00,260.04,12.27,5000.0,4666.6,7.00
1,178.7247,-37.6488,38052.70,0.04,207.00,66.00,268.26,10.24,5000.0,4666.6,4.00
1,178.6988,-37.6889,38052.70,0.06,207.00,66.00,262.12,8.96,5000.0,4666.6,2.00
1,178.6730,-37.7290,38052.70,0.02,207.00,66.00,251.65,8.71,5000.0,4666.6,2.00
1,178.6472,-37.7691,38052.70,0.01,207.00,66.00,266.50,9.56,5000.0,4666.6,3.00
1,178.6213,-37.8092,38052.70,0.00,207.00,66.00,256.72,11.44,5000.0,4666.6,4.00
1,178.5955,-37.8493,38052.70,0.01,207.00,66.00,235.69,13.67,5000.0,4666.6,4.00
1,178.5696,-37.8893,38052.70,0.01,207.00,66.00,242.70,16.13,5000.0,4666.6,5.00
1,178.5438,-37.9294,38052.70,0.01,207.00,66.00,262.33,18.76,5000.0,4666.6,5.00
1,178.5180,-37.9695,38052.70,0.04,207.00,66.00,245.98,20.89,5000.0,4666.6,2.00
1,178.4921,-38.0096,38052.70,0.00,207.00,66.00,254.73,23.09,5000.0,4666.6,2.00
1,179.0155,-37.1599,42315.90,0.00,207.00,66.00,244.19,27.33,5000.0,4666.6,4.00
1,178.9897,-37.2000,42315.90,0.00,207.00,66.00,240.28,25.78,5000.0,4666.6,7.00
1,178.9638,-37.2401,42315.90,0.02,207.00,66.00,263.34,24.44,5000.0,4666.6,2.00
1,178.9380,-37.2802,42315.90,0.04,207.00,66.00,246.97,23.33,5000.0,4666.6,2.00
1,178.9121,-37.3203,42315.90,0.01,207.00,66.00,268.25,22.44,5000.0,4666.6,2.00
1,178.8863,-37.3604,42315.90,0.12,207.00,66.00,258.23,21.77,5000.0,4666.6,2.00
1,178.8605,-37.4005,42315.90,0.26,207.00,66.00,267.75,21.35,5000.0,4666.6,3.00
1,178.8346,-37.4406,42315.90,0.33,207.00,66.00,270.91,20.78,5000.0,4666.6,5.00
1,178.8088,-37.4807,42315.90,0.23,207.00,66.00,266.41,19.88,5000.0,4666.6,6.00
1,178.7829,-37.5208,42315.90,0.06,207.00,66.00,239.43,18.47,5000.0,4666.6,6.00
1,178.7571,-37.5609,42315.90,0.00,207.00,66.00,272.34,16.38,5000.0,4666.6,3.00
1,178.7313,-37.6009,42315.90,0.01,207.00,66.00,240.57,14.07,5000.0,4666.6,3.00
1,178.7054,-37.6410,42315.90,0.00,207.00,66.00,251.54,12.40,5000.0,4666.6,4.00
1,178.6796,-37.6811,42315.90,0.01,207.00,66.00,272.70,11.44,5000.0,4666.6,5.00
1,178.6537,-37.7212,42315.90,0.01,207.00,66.00,240.23,11.44,5000.0,4666.6,5.00
1,178.6279,-37.7613,42315.90,0.01,207.00,66.00,255.90,12.24,5000.0,4666.6,2.00
1,178.6021,-37.8014,42315.90,0.00,207.00,66.00,263.54,14.00,5000.0,4666.6,4.00
1,178.5762,-37.8415,42315.90,0.01,207.00,66.00,260.28,16.47,5000.0,4666.6,5.00
1,178.5504,-37.8816,42315.90,0.01,207.00,66.00,269.02,18.78,5000.0,4666.6,5.00
1,178.5245,-37.9217,42315.90,0.02,207.00,66.00,250.17,21.27,5000.0,4666.6,3.00
1,178.4987,-37.9618,42315.90,0.03,207.00,66.00,265.70,23.48,5000.0,4666.6,3.00
1,178.4729,-38.0019,42315.90,0.02,207.00,66.00,238.10,25.58,5000.0,4666.6,3.00
1,178.9962,-37.1522,46579.10,0.02,207.00,66.00,270.84,28.12,5000.0,4666.6,2.00
1,178.9704,-37.1923,46579.10,0.00,207.00,66.00,247.15,26.61,5000.0,4666.6,3.00
1,178.9446,-37.2324,46579.10,0.01,207.00,66.00,261.90,25.12,5000.0,4666.6,2.00
1,178.9187,-37.2725,46579.10,0.01,207.00,66.00,244.37,23.86,5000.0,4666.6,6.00
1,178.8929,-37.3126,46579.10,0.00,207.00,66.00,256.50,23.02,5000.0,4666.6,8.00
1,178.8670,-37.3526,46579.10,0.08,207.00,66.00,270.75,22.43,5000.0,4666.6,5.00
1,178.8412,-37.3927,46579.10,0.16,207.00,66.00,267.97,22.08,5000.0,4666.6,4.00
1,178.8154,-37.4328,46579.10,0.21,207.00,66.00,272.34,21.80,5000.0,4666.6,2.00
1,178.7895,-37.4729,46579.10,0.15,207.00,66.00,269.99,21.20,5000.0,4666.6,3.00
1,178.7637,-37.5130,46579.10,0.08,207.00,66.00,253.39,19.90,5000.0,4666.6,5.00
1,178.7378,-37.5531,46579.10,0.05,207.00,66.00,255.94,17.94,5000.0,4666.6,6.00
1,178.7120,-37.5932,46579.10,0.04,207.00,66.00,268.23,15.76,5000.0,4666.6,5.00
1,178.6862,-37.6333,46579.10,0.01,207.00,66.00,238.33,14.21,5000.0,4666.6,5.00
1,178.6603,-37.6734,46579.10,0.03,207.00,66.00,235.82,13.53,5000.0,4666.6,6.00
1,178.6345,-37.7135,46579.10,0.02,207.00,66.00,246.78,13.57,5000.0,4666.6,8.00
1,178.6087,-37.7536,46579.10,0.00,207.00,66.00,259.72,14.33,5000.0,4666.6,8.00
1,178.5828,-37.7937,46579.10,0.02,207.00,66.00,252.10,16.21,5000.0,4666.6,8.00
1,178.5570,-37.8337,46579.10,0.01,207.00,66.00,264.27,18.56,5000.0,4666.6,5.00
1,178.5311,-37.8738,46579.10,0.02,207.00,66.00,247.20,20.94,5000.0,4666.6,6.00
1,178.5053,-37.9139,46579.10,0.03,207.00,66.00,239.94,23.30,5000.0,4666.6,6.00
1,178.4795,-37.9540,46579.10,0.01,207.00,66.00,270.86,25.40,5000.0,4666.6,4.00
1,178.4536,-37.9941,46579.10,0.00,207.00,66.00,253.04,27.40,5000.0,4666.6,7.00
